invest_date,period,invest,est_yearly_interest_rate,branch_id
2016-11-10,13,4442100.0,1.0687671232876712,002
2017-07-14,6,65803400.0,1.0721212121212123,002
2016-05-24,2,31182800.0,1.2039436619718311,002
2017-06-21,2,110291600.0,1.0393939393939395,002
2017-05-27,12,56815900.0,1.0212121212121212,002
2015-08-03,7,24167000.0,1.567128027681661,002
2016-09-01,4,61822300.0,1.1177464788732396,002
2016-02-03,9,8045000.0,1.3154545454545454,002
2016-03-09,9,44740700.0,1.2622535211267607,002
2016-11-01,4,41684600.0,1.0786301369863014,002
2017-09-19,7,130139200.0,1.0557788944723618,002
2016-01-14,5,15739200.0,1.3809090909090909,002
2015-06-17,12,15726900.0,1.5743944636678202,002
2017-03-15,7,410200.0,1.0035616438356165,002
2017-12-14,1,112295500.0,0.9753768844221106,002
2016-04-18,13,25228500.0,1.2250704225352114,002
2016-01-18,5,43118200.0,1.37,002
2015-09-23,11,8328600.0,1.557612456747405,002
2015-12-11,6,9780300.0,1.470909090909091,002
2015-11-10,5,22556800.0,1.5503460207612456,002
2017-07-07,14,80592400.0,1.0733333333333335,002
2016-06-24,12,19189100.0,1.1692957746478874,002
2018-01-11,8,109168500.0,0.9402010050251257,002
2017-05-23,5,59817500.0,1.0078787878787878,002
2017-02-13,14,6475500.0,1.0161643835616438,002
2015-06-24,10,29398800.0,1.5735294117647058,002
2017-09-12,1,42030800.0,1.0688442211055278,002
2016-03-22,10,29315600.0,1.2504225352112677,002
2016-06-22,7,22662400.0,1.1752112676056339,002
2015-06-04,8,3467800.0,1.5773356401384084,002
2016-09-19,14,51622200.0,1.0967123287671234,002
2017-06-27,7,37694600.0,1.0527272727272727,002
2016-08-11,11,27564000.0,1.1295774647887324,002
2016-08-30,8,22643300.0,1.1160563380281692,002
2017-02-04,8,445900.0,1.0243835616438357,002
2017-03-17,6,60756900.0,1.003013698630137,002
2015-08-27,13,9404300.0,1.5619377162629757,002
2018-01-26,10,54410000.0,0.9231155778894473,002
2015-04-14,11,4907300.0,1.5856401384083045,002
2016-09-27,5,23438000.0,1.0972602739726027,002
2017-08-10,7,78308600.0,1.0959798994974874,002
2016-06-16,9,36519700.0,1.1785915492957748,002
2017-06-07,4,25233400.0,1.024848484848485,002
2016-04-26,4,3807200.0,1.2259154929577465,002
2016-06-29,9,54305900.0,1.167605633802817,002
2015-12-17,3,46891900.0,1.4627272727272729,002
2017-03-24,14,23825000.0,0.9947945205479451,002
2017-06-19,13,5462700.0,1.0503030303030303,002
2016-02-25,1,2082300.0,1.28,002
2016-02-23,3,24027500.0,1.28,002
2015-12-02,1,40968900.0,1.509090909090909,002
2016-11-23,14,37518400.0,1.0610958904109589,002
2016-08-16,10,29688800.0,1.1261971830985917,002
2017-05-25,2,80370200.0,1.0066666666666666,002
2016-07-19,6,32386100.0,1.1532394366197183,002
2015-06-30,10,12765700.0,1.572491349480969,002
2016-08-26,1,65129400.0,1.1253521126760564,002
2016-02-14,8,12594200.0,1.288181818181818,002
2016-07-04,6,26533300.0,1.1659154929577467,002
2018-01-03,9,21357100.0,0.9472361809045227,002
2017-08-15,5,102724300.0,1.0929648241206031,002
2018-02-06,2,59572000.0,0.9201005025125628,002
2015-12-28,1,13704300.0,1.4381818181818182,002
2018-01-18,12,128780000.0,0.9291457286432161,002
2018-01-05,2,68277200.0,0.9522613065326634,002
2016-11-04,6,60691700.0,1.0758904109589043,002
2017-09-25,4,19511800.0,1.0527638190954776,002
2016-07-13,8,33402600.0,1.1566197183098592,002
2015-06-29,6,8149800.0,1.573356401384083,002
2017-12-22,19,1710000.0,0.9989898989898991,003
2017-09-01,24,1850000.0,1.0662311557788946,003
2017-11-14,8,490000.0,1.097979797979798,003
2018-01-30,15,1020000.0,0.9282828282828283,003
2018-01-02,17,7420000.0,0.9808080808080808,003
2017-12-11,12,1000000.0,1.0353535353535355,003
2016-06-14,20,20000.0,1.2183391003460209,004
2016-09-28,5,210000.0,1.1616608996539792,004
2018-01-23,10,410000.0,0.9244131455399062,004
2017-11-21,9,460000.0,0.9845070422535211,004
2016-04-01,26,150000.0,1.2606920415224914,004
2016-03-23,14,200000.0,1.2737716262975778,004
2018-01-25,13,70000.0,0.9197183098591549,004
2017-05-08,23,30000.0,1.0284848484848486,004
2016-06-23,8,50000.0,1.2202076124567474,004
2016-04-08,21,90000.0,1.259446366782007,004
2016-12-01,1,190000.0,1.1242906574394465,004
2016-09-27,25,200000.0,1.1498269896193771,004
2015-08-14,27,110000.0,1.548643216080402,004
2016-08-04,14,170000.0,1.1903114186851211,004
2016-11-23,18,280000.0,1.1186851211072666,004
2017-10-23,2,200000.0,1.0183098591549296,004
2015-11-30,6,20000.0,1.430603015075377,004
2016-12-07,9,160000.0,1.1155709342560556,004
2017-11-20,5,360000.0,0.9892018779342724,004
2015-06-29,5,50000.0,1.565068493150685,004
2017-12-28,12,180000.0,0.9469483568075118,004
2016-12-15,4,300000.0,1.1137024221453289,004
2017-07-20,17,80000.0,1.0934272300469485,004
2017-06-15,4,2970000.0,1.075778546712803,005
2016-01-27,1,16632000.0,1.1343718592964824,005
2016-05-30,1,55437000.0,1.0534246575342465,005
2016-05-26,5,5891000.0,1.0534246575342465,005
2016-05-27,4,86241000.0,1.0534246575342465,005
2016-06-22,5,26347000.0,1.0386301369863014,005
2017-03-13,1,175927000.0,1.0656338028169015,005
2016-11-23,6,39250000.0,1.0064788732394365,005
2015-08-17,2,41235000.0,1.28,005
2016-04-22,6,118029000.0,1.0715068493150686,005
2017-05-10,5,252859000.0,1.1,005
2016-04-01,5,142407000.0,1.0835616438356166,005
2017-12-12,1,423095000.0,0.953287197231834,005
2016-10-09,3,32054000.0,0.98,005
2017-04-06,4,23837000.0,1.0808450704225352,005
2016-11-16,1,130000000.0,0.9997183098591549,005
2016-08-24,5,2015000.0,1.0041095890410958,005
2016-02-19,3,42369000.0,1.1117587939698494,005
2016-02-17,5,2822000.0,1.1117587939698494,005
2016-10-14,5,152542000.0,0.9833802816901408,005
2018-02-12,5,90277000.0,0.9076124567474049,005
2016-06-29,4,114901000.0,1.0353424657534247,005
2015-08-10,3,6510000.0,1.2963636363636364,005
2017-08-22,6,347005000.0,1.0273356401384084,005
2015-09-15,6,45230000.0,1.2510552763819096,005
2016-06-17,1,14621000.0,1.0435616438356166,005
2016-10-20,6,40541000.0,0.9873239436619718,005
2015-10-14,1,71734000.0,1.2293467336683417,005
2015-12-30,6,29754000.0,1.155175879396985,005
2016-02-29,5,26197000.0,1.1009045226130654,005
2017-04-11,1,228829000.0,1.0819718309859157,005
2018-02-07,5,91866000.0,0.9110726643598617,005
2015-07-08,3,21431000.0,1.3863636363636365,005
2015-09-08,2,46489000.0,1.2610050251256282,005
2015-09-04,6,67525000.0,1.2610050251256282,005
2015-08-21,5,4667000.0,1.274572864321608,005
